3,Flour
4,Eggs
5,Milk
6,Butter
7,Sunflower oil
8,Yeast
10,Water
12,Cinnamon
13,Milk chocolate
15,Guacamole
16,Artichokesс
17,Cream
18,Tomatoes
19,Onions
20,Garlic
21,Pepper
22,Lemon
23,Lime
24,Orange
26,Ginger
27,Honey
28,Vinegar
30,Wine
31,Beer
32,Rice
33,Pasta
38,Oats
40,Mustard
41,Mayonnaise
42,Ketchup
47,Chives
48,Parsley
49,Basil
50,Mint
51,Cilantro
52,Dill
53,Rosemary
54,Thyme
55,Paprika
56,Nutmeg
57,Cumin
58,Clove
59,Turmeric
60,Allspice
61,Almonds
62,Walnuts
63,Pecans
64,Cashews
65,Pistachios
66,Macadamia
67,Coconut
68,Raisins
69,Cranberries
80,Crackers
81,Garlic-walnut sauce
82,Lettuce
83,Chicken breast
84,Cucumber
86,Olives
87,Olive oil
88,Tuna
89,Celery
1,Salt
2,Sugar
99,Mustard
100,Spinach
101,Quinoa
102,Lime sauce
103,Black beans
104,Green beans
105,Green
106,Balsamic vinegar
107,Bacon
108,Avocado
109,Rice noodles
110,Shrimp
111,Carrot
112,Sesame
113,Pomegranate
114,Mustard sauce
115,Beef tenderloin
116,Lime and fish sauce
117,Champignon
119,Lemongrass
121,Galangal
122,Chilies
124,Lime juice
9,Baking powder
11,Vanilla extract
14,Cocoa powder
25,Chili pepper
29,Soy sauce
34,Rice vinegar
35,Soybean oil
36,Coconut milk
37,Peanut butter
39,Maple syrup
43,Worcestershire sauce
44,Sour cream
45,Cream cheese
46,Whipped cream
70,Cheddar cheese
71,Parmesan cheese
72,Mozzarella cheese
73,Swiss cheese
74,Blue cheese
75,Ricotta cheese
76,Provolone cheese
77,Brie cheese
78,Camembert cheese
79,Roquefort cheese
85,Feta cheese
90,Red onion
91,Dill pickles
92,Dijon mustard
93,Lemon juice
94,Boiled potatoes
95,Boiled carrots
96,Boiled sausage
97,Green peas
98,Green onions
118,Chicken broth
120,Kaffir lime leaves
123,Fish sauce
125,Cream
126,Duck
127,Seaweed
128,Bamboo shoots
129,Mirin
130,Curry paste
131,Broccoli
132,Vegetable broth
133,White beans
134,Paste
135,Gruyere cheese
136,Dried corn kernels pozole
137,Oregano
138,Tortillas
139,Ancho
140,Cilantro root
141,Baguette
142,Clams
143,White sauce
144,Coffee
145,Savoyardi lollipops
146,Mascarpone
147,Cookies
148,Vanilla
149,Gelatin
150,Puff pastry
151,Condensed milk
152,Bananas
153,Strawberries
154,Raspberries
155,Mangoes
156,Peaches
157,Glaze
158,Almond flour
159,Powdered sugar
160,Spaghetti
161,Teriyaki sauce
162,Taliatelle pasta
163,Spices
164,Omelette
165,Peanut sauce
166,Curry sauce
167,Cauliflower cabbage
168,Spicy sesame sauce
169,Buckwheat
170,Vegetable oil
171,Mashed potatoes
172,Fried potatoes
173,Baked potatoes
174,Squid rings
175,Dough
176,Marinara sauce
177,Sweet pepper
178,Green apples
179,Crab
180,Paprica
181,Fried Potato Bars
182,Ground beef
183,Ground chicken
184,Tzatziki sauce
185,Pineapple rings
186,Dorblu cheese
187,Herbs
188,Pork
189,Lamb
190,Veal tenderloin
191,Tonnato sauce (tuna and mayonnaise sauce)
192,Capers
193,Fruit jelly
194,Rabbit meat
195,Salmon
196,Orange sauce
197,Duck breast
198,Soda water
200,Pineapple juice
201,Apple
202,Cherries
203,Yogurt
205,Black tea
206,Blueberries
207,Milk foam
208,Espresso coffee
209,Hot chocolate
210,Cocoa
211,Chocolate syrup
212,Vanilla ice cream
213,Hot water
214,Green tea
215,Carbon dioxide
199,Ice
204,Papaya
216,Vodka
217,Peach liqueur
218,Orange juice
219,Cranberry juice
220,Dark rum
221,Light rum
222,Orange liqueur
223,Worcestershire sauce
224,Tequila
225,White dry wine
226,White semi-sweet wine
227,White semi-dry wine
228,Red dry wine
229,Red semi-sweet wine
230,Cognac
231,Scotch whiskey
232,White rum
